source_id,source,collection_or_record_url,reported_license,reported_candidate_count,direct_access,existing_labels,target_fit,review_status,download_allowed,notes
usfws-turtle-nest-hatchery-0,US Fish and Wildlife Service,https://www.fws.gov/media/turtle-nest-hatchery-0,Public Domain,1,Original download link on record page,None,Direct hatchery scene,source-verified,yes,"Original is 3504x2336. Record describes relocation of loggerhead nests into a hatchery; retain attribution metadata even though it is Public Domain."
usfws-turtle-nest-protection-cage,US Fish and Wildlife Service,https://www.fws.gov/media/turtle-nest-protection-cage,Public Domain,1,Original download link on record page,None,Related enclosure/cage context,source-verified,yes,"Original is 3024x4032. Useful as a hard positive only if the target policy accepts a nest protection cage; otherwise label as a negative."
usfws-sea-turtle-nest-boundary-marking,US Fish and Wildlife Service,https://www.fws.gov/media/sea-turtle-nest-boundary-marking,Public Domain,1,Original download link on record page,None,Related boundary context,source-verified,yes,"Original is 3648x2736. Use only if a clearly bounded nest area belongs to the intended hatchery definition."
wikimedia-pawikan-conservation-center,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Pawikan_Conservation_Center,CC BY-SA 3.0,33,MediaWiki imageinfo API returns original URLs,None,Candidate facility pool,approved-collection; individual-review-required,yes,"User approved CC BY-SA collection on 2026-08-14. Collector preserves creator/title/license/source URL for every file; visually screen for whole-enclosure views before annotation."
wikimedia-visakhapatnam-egg-care-center,Wikimedia Commons,"https://commons.wikimedia.org/wiki/Category:Sea_Turtles_egg_care_center,_Visakhapatnam",CC BY-SA 3.0,7,MediaWiki imageinfo API returns original URLs,None,Direct egg-care-center pool,approved-collection; individual-review-required,yes,"User approved CC BY-SA collection on 2026-08-14. Likely near-duplicates; retain one split assignment per scene."
wikimedia-ogasawara-marine-center,Wikimedia Commons,https://commons.wikimedia.org/wiki/Category:Ogasawara_Marine_Center,"CC BY-SA 2.0/3.0",5,MediaWiki imageinfo API returns original URLs,None,Facility context only,approved-collection; individual-review-required,yes,"User approved CC BY-SA collection on 2026-08-14. Treat turtle tank/visitor images as negatives, not hatchery positives."
openverse-turtle-hatchery,Openverse,https://api.openverse.org/v1/images/,"CC0 or CC BY filter",231,Search API returns source page and image URL,None,Discovery queue only,source-unverified,no,"Audit query on 2026-08-14: q=turtle hatchery and license=cc0,by. Result set is noisy and license metadata must be verified at the original source before approval."
roboflow-sea-turtle-hatchling-detection,Roboflow Universe,https://universe.roboflow.com/ifpe-2vsip/sea-turtles-hatchling-detection-jutkt,CC BY 4.0,606,Export formats include YOLO COCO and Create ML,"sea turtle; non-sea-turtle",Wrong target class,excluded,no,"May only be reconsidered as a separately reviewed source of hard negatives or for manual relabeling; never treat its turtle boxes as hatchery boxes."
gtst-2023,Kaggle via Scientific Data,https://www.nature.com/articles/s41597-024-04336-3,Dataset license not confirmed,14471,Archived on Kaggle,"sea-turtle boxes; carapace masks",Wrong target class,excluded,no,"42 videos; 14471 box-annotated frames and 130 mask frames. Do not download until the dataset license is separately verified; it is not a hatchery-positive source."
sea-turtle-id-2022,Kaggle,https://www.kaggle.com/datasets/wildlifedatasets/seaturtleid2022,Non-commercial terms,8729,Kaggle download,"turtle/head/flipper masks",Wrong target and incompatible terms,excluded,no,"Explicitly forbids commercial use of algorithms trained on the data."
open-images-v7,Google Open Images,https://storage.googleapis.com/openimages/web/download_v7.html,"per-image license metadata; annotations CC BY 4.0",9178275,Official image/annotation download tools,No hatchery class,Negative/background source only,not-reviewed,no,"Do not use as hatchery positives. If later used for backgrounds, preserve each image's license metadata and review its suitability."
